NO_PAI,NO,Abertura,PER,VAZAO,PROB,NOME_UHE
143,145,2,6,115.0,0.3333333333333333,1
143,146,3,6,85.0,0.3333333333333333,1
138,147,3,5,86.0,0.3333333333333333,1
147,148,1,6,108.0,0.3333333333333333,1
147,149,2,6,85.0,0.3333333333333333,1
147,150,3,6,160.0,0.3333333333333333,1
124,151,3,4,255.0,0.3333333333333333,1
151,152,1,5,141.0,0.3333333333333333,1
152,153,1,6,139.0,0.3333333333333333,1
152,154,2,6,68.0,0.3333333333333333,1
152,155,3,6,108.0,0.3333333333333333,1
151,156,2,5,80.0,0.3333333333333333,1
156,157,1,6,85.0,0.3333333333333333,1
156,158,2,6,121.0,0.3333333333333333,1
156,159,3,6,64.0,0.3333333333333333,1
151,160,3,5,89.0,0.3333333333333333,1
160,161,1,6,76.0,0.3333333333333333,1
160,162,2,6,107.0,0.3333333333333333,1
160,163,3,6,160.0,0.3333333333333333,1
123,164,2,3,140.0,0.3333333333333333,1
164,165,1,4,356.0,0.3333333333333333,1
165,166,1,5,208.0,0.3333333333333333,1
166,167,1,6,100.0,0.3333333333333333,1
166,168,2,6,65.0,0.3333333333333333,1
166,169,3,6,55.0,0.3333333333333333,1
165,170,2,5,79.0,0.3333333333333333,1
170,171,1,6,121.0,0.3333333333333333,1
170,172,2,6,115.0,0.3333333333333333,1
170,173,3,6,106.0,0.3333333333333333,1
165,174,3,5,139.0,0.3333333333333333,1
174,175,1,6,98.0,0.3333333333333333,1
174,176,2,6,90.0,0.3333333333333333,1
174,177,3,6,107.0,0.3333333333333333,1
164,178,2,4,149.0,0.3333333333333333,1
178,179,1,5,107.0,0.3333333333333333,1
179,180,1,6,119.0,0.3333333333333333,1
179,181,2,6,65.0,0.3333333333333333,1
179,182,3,6,85.0,0.3333333333333333,1
178,183,2,5,119.0,0.3333333333333333,1
183,184,1,6,109.0,0.3333333333333333,1
183,185,2,6,81.0,0.3333333333333333,1
183,186,3,6,85.0,0.3333333333333333,1
178,187,3,5,58.0,0.3333333333333333,1
187,188,1,6,44.0,0.3333333333333333,1
187,189,2,6,40.0,0.3333333333333333,1
187,190,3,6,68.0,0.3333333333333333,1
164,191,3,4,180.0,0.3333333333333333,1
191,192,1,5,208.0,0.3333333333333333,1
192,193,1,6,107.0,0.3333333333333333,1
192,194,2,6,105.0,0.3333333333333333,1
192,195,3,6,90.0,0.3333333333333333,1
191,196,2,5,128.0,0.3333333333333333,1
196,197,1,6,73.0,0.3333333333333333,1
196,198,2,6,55.0,0.3333333333333333,1
196,199,3,6,138.0,0.3333333333333333,1
191,200,3,5,177.0,0.3333333333333333,1
200,201,1,6,80.0,0.3333333333333333,1
200,202,2,6,97.0,0.3333333333333333,1
200,203,3,6,44.0,0.3333333333333333,1
123,204,3,3,351.0,0.3333333333333333,1
204,205,1,4,255.0,0.3333333333333333,1
205,206,1,5,128.0,0.3333333333333333,1
206,207,1,6,64.0,0.3333333333333333,1
206,208,2,6,108.0,0.3333333333333333,1
206,209,3,6,55.0,0.3333333333333333,1
205,210,2,5,66.0,0.3333333333333333,1
210,211,1,6,96.0,0.3333333333333333,1
210,212,2,6,73.0,0.3333333333333333,1
210,213,3,6,139.0,0.3333333333333333,1
205,214,3,5,107.0,0.3333333333333333,1
214,215,1,6,128.0,0.3333333333333333,1
214,216,2,6,109.0,0.3333333333333333,1
214,217,3,6,102.0,0.3333333333333333,1
204,218,2,4,137.0,0.3333333333333333,1
218,219,1,5,83.0,0.3333333333333333,1
219,220,1,6,132.0,0.3333333333333333,1
219,221,2,6,59.0,0.3333333333333333,1
219,222,3,6,119.0,0.3333333333333333,1
218,223,2,5,166.0,0.3333333333333333,1
223,224,1,6,132.0,0.3333333333333333,1
223,225,2,6,128.0,0.3333333333333333,1
223,226,3,6,96.0,0.3333333333333333,1
218,227,3,5,479.0,0.3333333333333333,1
227,228,1,6,42.0,0.3333333333333333,1
227,229,2,6,86.0,0.3333333333333333,1
227,230,3,6,113.0,0.3333333333333333,1
204,231,3,4,110.0,0.3333333333333333,1
231,232,1,5,156.0,0.3333333333333333,1
232,233,1,6,102.0,0.3333333333333333,1
232,234,2,6,85.0,0.3333333333333333,1
232,235,3,6,86.0,0.3333333333333333,1
231,236,2,5,166.0,0.3333333333333333,1
236,237,1,6,86.0,0.3333333333333333,1
236,238,2,6,121.0,0.3333333333333333,1
236,239,3,6,93.0,0.3333333333333333,1
231,240,3,5,80.0,0.3333333333333333,1
240,241,1,6,109.0,0.3333333333333333,1
240,242,2,6,86.0,0.3333333333333333,1
240,243,3,6,44.0,0.3333333333333333,1
1,244,3,2,302.0,0.3333333333333333,1
244,245,1,3,389.0,0.3333333333333333,1
245,246,1,4,170.0,0.3333333333333333,1
246,247,1,5,136.0,0.3333333333333333,1
247,248,1,6,92.0,0.3333333333333333,1
247,249,2,6,73.0,0.3333333333333333,1
247,250,3,6,132.0,0.3333333333333333,1
246,251,2,5,215.0,0.3333333333333333,1
251,252,1,6,115.0,0.3333333333333333,1
251,253,2,6,115.0,0.3333333333333333,1
251,254,3,6,108.0,0.3333333333333333,1
246,255,3,5,141.0,0.3333333333333333,1
255,256,1,6,81.0,0.3333333333333333,1
255,257,2,6,80.0,0.3333333333333333,1
255,258,3,6,97.0,0.3333333333333333,1
245,259,2,4,197.0,0.3333333333333333,1
259,260,1,5,332.0,0.3333333333333333,1
260,261,1,6,108.0,0.3333333333333333,1
260,262,2,6,72.0,0.3333333333333333,1
260,263,3,6,40.0,0.3333333333333333,1
259,264,2,5,149.0,0.3333333333333333,1
264,265,1,6,115.0,0.3333333333333333,1
264,266,2,6,66.0,0.3333333333333333,1
264,267,3,6,40.0,0.3333333333333333,1
259,268,3,5,97.0,0.3333333333333333,1
268,269,1,6,59.0,0.3333333333333333,1
268,270,2,6,168.0,0.3333333333333333,1
268,271,3,6,115.0,0.3333333333333333,1
245,272,3,4,576.0,0.3333333333333333,1
272,273,1,5,119.0,0.3333333333333333,1
273,274,1,6,122.0,0.3333333333333333,1
273,275,2,6,92.0,0.3333333333333333,1
273,276,3,6,113.0,0.3333333333333333,1
272,277,2,5,128.0,0.3333333333333333,1
277,278,1,6,68.0,0.3333333333333333,1
277,279,2,6,119.0,0.3333333333333333,1
277,280,3,6,90.0,0.3333333333333333,1
272,281,3,5,233.0,0.3333333333333333,1
281,282,1,6,73.0,0.3333333333333333,1
281,283,2,6,68.0,0.3333333333333333,1
281,284,3,6,97.0,0.3333333333333333,1
244,285,2,3,381.0,0.3333333333333333,1
285,286,1,4,275.0,0.3333333333333333,1
286,287,1,5,77.0,0.3333333333333333,1
287,288,1,6,117.0,0.3333333333333333,1
287,289,2,6,109.0,0.3333333333333333,1
287,290,3,6,116.0,0.3333333333333333,1
286,291,2,5,140.0,0.3333333333333333,1
291,292,1,6,102.0,0.3333333333333333,1
291,293,2,6,115.0,0.3333333333333333,1
291,294,3,6,144.0,0.3333333333333333,1
286,295,3,5,128.0,0.3333333333333333,1
295,296,1,6,102.0,0.3333333333333333,1
295,297,2,6,86.0,0.3333333333333333,1
295,298,3,6,139.0,0.3333333333333333,1
285,299,2,4,230.0,0.3333333333333333,1
299,300,1,5,123.0,0.3333333333333333,1
300,301,1,6,42.0,0.3333333333333333,1
300,302,2,6,144.0,0.3333333333333333,1
300,303,3,6,332.0,0.3333333333333333,1
299,304,2,5,149.0,0.3333333333333333,1
304,305,1,6,86.0,0.3333333333333333,1
304,306,2,6,98.0,0.3333333333333333,1
304,307,3,6,113.0,0.3333333333333333,1
299,308,3,5,72.0,0.3333333333333333,1
308,309,1,6,139.0,0.3333333333333333,1
308,310,2,6,88.0,0.3333333333333333,1
308,311,3,6,122.0,0.3333333333333333,1
285,312,3,4,213.0,0.3333333333333333,1
312,313,1,5,96.0,0.3333333333333333,1
313,314,1,6,81.0,0.3333333333333333,1
313,315,2,6,64.0,0.3333333333333333,1
313,316,3,6,40.0,0.3333333333333333,1
312,317,2,5,149.0,0.3333333333333333,1
317,318,1,6,133.0,0.3333333333333333,1
317,319,2,6,113.0,0.3333333333333333,1
317,320,3,6,76.0,0.3333333333333333,1
312,321,3,5,123.0,0.3333333333333333,1
321,322,1,6,88.0,0.3333333333333333,1
321,323,2,6,144.0,0.3333333333333333,1
321,324,3,6,44.0,0.3333333333333333,1
244,325,3,3,215.0,0.3333333333333333,1
325,326,1,4,163.0,0.3333333333333333,1
326,327,1,5,165.0,0.3333333333333333,1
327,328,1,6,119.0,0.3333333333333333,1
327,329,2,6,113.0,0.3333333333333333,1
327,330,3,6,73.0,0.3333333333333333,1
326,331,2,5,332.0,0.3333333333333333,1
331,332,1,6,42.0,0.3333333333333333,1
331,333,2,6,85.0,0.3333333333333333,1
331,334,3,6,113.0,0.3333333333333333,1
326,335,3,5,231.0,0.3333333333333333,1
335,336,1,6,65.0,0.3333333333333333,1
335,337,2,6,96.0,0.3333333333333333,1
335,338,3,6,90.0,0.3333333333333333,1
325,339,2,4,170.0,0.3333333333333333,1
339,340,1,5,114.0,0.3333333333333333,1
340,341,1,6,132.0,0.3333333333333333,1
340,342,2,6,96.0,0.3333333333333333,1
340,343,3,6,66.0,0.3333333333333333,1
339,344,2,5,162.0,0.3333333333333333,1
344,345,1,6,84.0,0.3333333333333333,1
344,346,2,6,42.0,0.3333333333333333,1
344,347,3,6,106.0,0.3333333333333333,1
339,348,3,5,172.0,0.3333333333333333,1
348,349,1,6,113.0,0.3333333333333333,1
348,350,2,6,86.0,0.3333333333333333,1
348,351,3,6,76.0,0.3333333333333333,1
325,352,3,4,267.0,0.3333333333333333,1
352,353,1,5,169.0,0.3333333333333333,1
353,354,1,6,76.0,0.3333333333333333,1
353,355,2,6,82.0,0.3333333333333333,1
353,356,3,6,85.0,0.3333333333333333,1
352,357,2,5,108.0,0.3333333333333333,1
357,358,1,6,107.0,0.3333333333333333,1
357,359,2,6,86.0,0.3333333333333333,1
357,360,3,6,121.0,0.3333333333333333,1
352,361,3,5,150.0,0.3333333333333333,1
361,362,1,6,92.0,0.3333333333333333,1
361,363,2,6,109.0,0.3333333333333333,1
361,364,3,6,160.0,0.3333333333333333,1
0,1,1,1,1055.0,1.0,2
1,2,1,2,1210.0,0.3333333333333333,2
2,3,1,3,1820.0,0.3333333333333333,2
3,4,1,4,1498.0,0.3333333333333333,2
4,5,1,5,957.0,0.3333333333333333,2
5,6,1,6,861.0,0.3333333333333333,2
5,7,2,6,502.0,0.3333333333333333,2
5,8,3,6,833.0,0.3333333333333333,2
4,9,2,5,843.0,0.3333333333333333,2
9,10,1,6,1572.0,0.3333333333333333,2
9,11,2,6,796.0,0.3333333333333333,2
9,12,3,6,880.0,0.3333333333333333,2
4,13,3,5,723.0,0.3333333333333333,2
13,14,1,6,611.0,0.3333333333333333,2
13,15,2,6,662.0,0.3333333333333333,2
13,16,3,6,1572.0,0.3333333333333333,2
3,17,2,4,1422.0,0.3333333333333333,2
17,18,1,5,1457.0,0.3333333333333333,2
18,19,1,6,868.0,0.3333333333333333,2
18,20,2,6,826.0,0.3333333333333333,2
18,21,3,6,596.0,0.3333333333333333,2
17,22,2,5,806.0,0.3333333333333333,2
22,23,1,6,673.0,0.3333333333333333,2
22,24,2,6,632.0,0.3333333333333333,2
22,25,3,6,333.0,0.3333333333333333,2
17,26,3,5,756.0,0.3333333333333333,2
26,27,1,6,601.0,0.3333333333333333,2
26,28,2,6,564.0,0.3333333333333333,2
26,29,3,6,611.0,0.3333333333333333,2
3,30,3,4,1758.0,0.3333333333333333,2
30,31,1,5,999.0,0.3333333333333333,2
31,32,1,6,826.0,0.3333333333333333,2
31,33,2,6,611.0,0.3333333333333333,2
31,34,3,6,632.0,0.3333333333333333,2
30,35,2,5,612.0,0.3333333333333333,2
35,36,1,6,628.0,0.3333333333333333,2
35,37,2,6,524.0,0.3333333333333333,2
35,38,3,6,512.0,0.3333333333333333,2
30,39,3,5,640.0,0.3333333333333333,2
39,40,1,6,662.0,0.3333333333333333,2
39,41,2,6,728.0,0.3333333333333333,2
39,42,3,6,850.0,0.3333333333333333,2
2,43,2,3,2902.0,0.3333333333333333,2
43,44,1,4,1193.0,0.3333333333333333,2
44,45,1,5,387.0,0.3333333333333333,2
45,46,1,6,596.0,0.3333333333333333,2
45,47,2,6,596.0,0.3333333333333333,2
45,48,3,6,775.0,0.3333333333333333,2
44,49,2,5,775.0,0.3333333333333333,2
49,50,1,6,495.0,0.3333333333333333,2
49,51,2,6,413.0,0.3333333333333333,2
49,52,3,6,915.0,0.3333333333333333,2
44,53,3,5,1448.0,0.3333333333333333,2
53,54,1,6,502.0,0.3333333333333333,2
53,55,2,6,524.0,0.3333333333333333,2
53,56,3,6,838.0,0.3333333333333333,2
43,57,2,4,1573.0,0.3333333333333333,2
57,58,1,5,761.0,0.3333333333333333,2
58,59,1,6,267.0,0.3333333333333333,2
58,60,2,6,267.0,0.3333333333333333,2
58,61,3,6,713.0,0.3333333333333333,2
57,62,2,5,610.0,0.3333333333333333,2
62,63,1,6,769.0,0.3333333333333333,2
62,64,2,6,571.0,0.3333333333333333,2
62,65,3,6,833.0,0.3333333333333333,2
57,66,3,5,897.0,0.3333333333333333,2
66,67,1,6,509.0,0.3333333333333333,2
66,68,2,6,728.0,0.3333333333333333,2
66,69,3,6,838.0,0.3333333333333333,2
43,70,3,4,1547.0,0.3333333333333333,2
70,71,1,5,996.0,0.3333333333333333,2
71,72,1,6,374.0,0.3333333333333333,2
71,73,2,6,952.0,0.3333333333333333,2
71,74,3,6,524.0,0.3333333333333333,2
70,75,2,5,944.0,0.3333333333333333,2
75,76,1,6,824.0,0.3333333333333333,2
75,77,2,6,673.0,0.3333333333333333,2
75,78,3,6,245.0,0.3333333333333333,2
70,79,3,5,636.0,0.3333333333333333,2
79,80,1,6,808.0,0.3333333333333333,2
79,81,2,6,868.0,0.3333333333333333,2
79,82,3,6,826.0,0.3333333333333333,2
2,83,3,3,1225.0,0.3333333333333333,2
83,84,1,4,1467.0,0.3333333333333333,2
84,85,1,5,915.0,0.3333333333333333,2
85,86,1,6,1438.0,0.3333333333333333,2
85,87,2,6,664.0,0.3333333333333333,2
85,88,3,6,509.0,0.3333333333333333,2
84,89,2,5,1651.0,0.3333333333333333,2
89,90,1,6,601.0,0.3333333333333333,2
89,91,2,6,531.0,0.3333333333333333,2
89,92,3,6,843.0,0.3333333333333333,2
84,93,3,5,673.0,0.3333333333333333,2
93,94,1,6,852.0,0.3333333333333333,2
93,95,2,6,673.0,0.3333333333333333,2
93,96,3,6,698.0,0.3333333333333333,2
83,97,2,4,1544.0,0.3333333333333333,2
97,98,1,5,998.0,0.3333333333333333,2
98,99,1,6,1061.0,0.3333333333333333,2
98,100,2,6,509.0,0.3333333333333333,2
98,101,3,6,662.0,0.3333333333333333,2
97,102,2,5,962.0,0.3333333333333333,2
102,103,1,6,838.0,0.3333333333333333,2
102,104,2,6,524.0,0.3333333333333333,2
102,105,3,6,824.0,0.3333333333333333,2
97,106,3,5,1132.0,0.3333333333333333,2
106,107,1,6,1034.0,0.3333333333333333,2
106,108,2,6,880.0,0.3333333333333333,2
106,109,3,6,333.0,0.3333333333333333,2
83,110,3,4,1121.0,0.3333333333333333,2
110,111,1,5,1063.0,0.3333333333333333,2
111,112,1,6,765.0,0.3333333333333333,2
111,113,2,6,852.0,0.3333333333333333,2
111,114,3,6,1438.0,0.3333333333333333,2
110,115,2,5,665.0,0.3333333333333333,2
115,116,1,6,880.0,0.3333333333333333,2
115,117,2,6,836.0,0.3333333333333333,2
115,118,3,6,524.0,0.3333333333333333,2
110,119,3,5,1457.0,0.3333333333333333,2
119,120,1,6,333.0,0.3333333333333333,2
119,121,2,6,509.0,0.3333333333333333,2
119,122,3,6,808.0,0.3333333333333333,2
1,123,2,2,3364.0,0.3333333333333333,2
123,124,1,3,1521.0,0.3333333333333333,2
124,125,1,4,1250.0,0.3333333333333333,2
125,126,1,5,1152.0,0.3333333333333333,2
126,127,1,6,509.0,0.3333333333333333,2
126,128,2,6,673.0,0.3333333333333333,2
126,129,3,6,626.0,0.3333333333333333,2
125,130,2,5,1066.0,0.3333333333333333,2
130,131,1,6,508.0,0.3333333333333333,2
130,132,2,6,675.0,0.3333333333333333,2
130,133,3,6,524.0,0.3333333333333333,2
125,134,3,5,1133.0,0.3333333333333333,2
134,135,1,6,880.0,0.3333333333333333,2
134,136,2,6,899.0,0.3333333333333333,2
134,137,3,6,843.0,0.3333333333333333,2
124,138,2,4,1186.0,0.3333333333333333,2
138,139,1,5,2327.0,0.3333333333333333,2
139,140,1,6,245.0,0.3333333333333333,2
139,141,2,6,632.0,0.3333333333333333,2
139,142,3,6,628.0,0.3333333333333333,2
138,143,2,5,1033.0,0.3333333333333333,2
143,144,1,6,868.0,0.3333333333333333,2
143,145,2,6,630.0,0.3333333333333333,2
143,146,3,6,374.0,0.3333333333333333,2
138,147,3,5,752.0,0.3333333333333333,2
147,148,1,6,630.0,0.3333333333333333,2
147,149,2,6,881.0,0.3333333333333333,2
147,150,3,6,509.0,0.3333333333333333,2
124,151,3,4,1619.0,0.3333333333333333,2
151,152,1,5,998.0,0.3333333333333333,2
152,153,1,6,524.0,0.3333333333333333,2
152,154,2,6,267.0,0.3333333333333333,2
152,155,3,6,1223.0,0.3333333333333333,2
151,156,2,5,724.0,0.3333333333333333,2
156,157,1,6,909.0,0.3333333333333333,2
156,158,2,6,540.0,0.3333333333333333,2
156,159,3,6,768.0,0.3333333333333333,2
151,160,3,5,996.0,0.3333333333333333,2
160,161,1,6,698.0,0.3333333333333333,2
160,162,2,6,713.0,0.3333333333333333,2
160,163,3,6,881.0,0.3333333333333333,2
123,164,2,3,1982.0,0.3333333333333333,2
164,165,1,4,1266.0,0.3333333333333333,2
165,166,1,5,1103.0,0.3333333333333333,2
166,167,1,6,632.0,0.3333333333333333,2
166,168,2,6,771.0,0.3333333333333333,2
166,169,3,6,717.0,0.3333333333333333,2
165,170,2,5,843.0,0.3333333333333333,2
170,171,1,6,707.0,0.3333333333333333,2
170,172,2,6,836.0,0.3333333333333333,2
170,173,3,6,808.0,0.3333333333333333,2
165,174,3,5,944.0,0.3333333333333333,2
174,175,1,6,1223.0,0.3333333333333333,2
174,176,2,6,765.0,0.3333333333333333,2
174,177,3,6,245.0,0.3333333333333333,2
164,178,2,4,1826.0,0.3333333333333333,2
178,179,1,5,1066.0,0.3333333333333333,2
179,180,1,6,626.0,0.3333333333333333,2
179,181,2,6,1032.0,0.3333333333333333,2
179,182,3,6,673.0,0.3333333333333333,2
178,183,2,5,1185.0,0.3333333333333333,2
183,184,1,6,673.0,0.3333333333333333,2
183,185,2,6,571.0,0.3333333333333333,2
183,186,3,6,894.0,0.3333333333333333,2
178,187,3,5,1321.0,0.3333333333333333,2
187,188,1,6,1223.0,0.3333333333333333,2
187,189,2,6,880.0,0.3333333333333333,2
187,190,3,6,899.0,0.3333333333333333,2
164,191,3,4,1408.0,0.3333333333333333,2
191,192,1,5,952.0,0.3333333333333333,2
192,193,1,6,880.0,0.3333333333333333,2
192,194,2,6,796.0,0.3333333333333333,2
192,195,3,6,761.0,0.3333333333333333,2
191,196,2,5,1066.0,0.3333333333333333,2
196,197,1,6,1438.0,0.3333333333333333,2
196,198,2,6,1034.0,0.3333333333333333,2
196,199,3,6,531.0,0.3333333333333333,2
191,200,3,5,942.0,0.3333333333333333,2
200,201,1,6,1572.0,0.3333333333333333,2
200,202,2,6,534.0,0.3333333333333333,2
200,203,3,6,417.0,0.3333333333333333,2
123,204,3,3,1161.0,0.3333333333333333,2
204,205,1,4,1619.0,0.3333333333333333,2
205,206,1,5,401.0,0.3333333333333333,2
206,207,1,6,596.0,0.3333333333333333,2
206,208,2,6,796.0,0.3333333333333333,2
206,209,3,6,761.0,0.3333333333333333,2
205,210,2,5,893.0,0.3333333333333333,2
210,211,1,6,626.0,0.3333333333333333,2
210,212,2,6,629.0,0.3333333333333333,2
210,213,3,6,713.0,0.3333333333333333,2
205,214,3,5,874.0,0.3333333333333333,2
214,215,1,6,596.0,0.3333333333333333,2
214,216,2,6,512.0,0.3333333333333333,2
214,217,3,6,579.0,0.3333333333333333,2
204,218,2,4,1623.0,0.3333333333333333,2
218,219,1,5,665.0,0.3333333333333333,2
219,220,1,6,417.0,0.3333333333333333,2
219,221,2,6,531.0,0.3333333333333333,2
219,222,3,6,446.0,0.3333333333333333,2
218,223,2,5,1118.0,0.3333333333333333,2
223,224,1,6,662.0,0.3333333333333333,2
223,225,2,6,245.0,0.3333333333333333,2
223,226,3,6,765.0,0.3333333333333333,2
218,227,3,5,914.0,0.3333333333333333,2
227,228,1,6,768.0,0.3333333333333333,2
227,229,2,6,509.0,0.3333333333333333,2
227,230,3,6,741.0,0.3333333333333333,2
204,231,3,4,994.0,0.3333333333333333,2
231,232,1,5,952.0,0.3333333333333333,2
232,233,1,6,417.0,0.3333333333333333,2
232,234,2,6,664.0,0.3333333333333333,2
232,235,3,6,775.0,0.3333333333333333,2
231,236,2,5,1677.0,0.3333333333333333,2
236,237,1,6,728.0,0.3333333333333333,2
236,238,2,6,1223.0,0.3333333333333333,2
236,239,3,6,741.0,0.3333333333333333,2
