ANO,JANEIRO,FEVEREIRO,MARCO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO
1977,1986,1616,1193,1189,698,596,467,363,583,420,832,1449
1978,1919,1268,1224,756,707,699,495,372,354,494,892,1100
1979,1385,2413,1422,963,808,642,578,552,733,527,946,1651
1980,2690,1929,1121,1709,915,784,674,487,492,459,824,1762
1981,2713,1297,1216,917,698,704,504,469,355,819,1325,2333
1982,2417,1820,2845,1651,1061,952,760,627,488,769,798,2073
1983,3506,3230,3046,2327,1572,2303,1308,921,1889,1822,1989,3123
1984,2192,1315,994,914,861,577,466,482,547,424,631,1326
1985,2594,2210,2434,1343,881,680,565,476,503,470,759,1036
1986,1716,1540,1365,806,833,555,565,590,369,294,343,1700
1987,1945,1757,1209,1232,838,703,548,434,573,459,590,1345
1988,1303,1788,1421,843,713,645,435,384,321,563,655,810
1989,1795,1580,1619,893,596,553,487,476,487,437,512,1128
1990,1364,639,1086,723,630,428,432,405,462,443,384,591
1991,1926,1981,1764,1915,1032,677,579,425,390,666,458,809
1992,2875,2406,1408,1052,1003,614,597,448,695,796,1298,1188
1993,1301,1938,1512,1103,717,727,502,435,457,566,437,705
1994,1927,845,1224,775,868,563,458,352,273,306,460,1062
1995,924,2788,1193,998,741,532,471,311,273,637,617,988
1996,1928,1231,1431,829,664,499,442,389,681,518,1455,1736
1997,3621,1824,1498,1066,765,863,578,437,405,502,715,1185
1998,1191,1248,965,676,571,513,362,360,260,501,525,1010
1999,1681,1410,1545,754,531,502,400,278,290,210,335,796
2000,2248,1817,1376,811,540,493,419,380,558,302,703,1013
2001,896,713,628,494,374,294,250,217,272,400,567,1029
2002,1240,1982,1147,641,512,420,381,308,354,222,549,998
2003,1882,1396,1072,718,531,394,385,271,261,302,433,916
2004,1252,1614,1326,1048,761,692,564,386,294,483,520,1526
2005,2239,1713,1541,874,950,676,561,416,477,392,721,1352
2006,1114,1161,1377,673,495,425,362,283,325,472,671,1268
2007,3364,2146,948,746,601,527,463,354,241,294,647,880
2008,1092,1737,1758,1448,771,624,460,433,418,477,866,1558
2009,2028,2485,1619,1643,843,696,630,525,705,828,658,1813
2010,1811,1026,1268,807,579,478,426,301,284,455,861,1512
2011,2959,1087,1931,1063,698,628,488,388,298,459,515,1648
2012,2628,1225,910,724,675,740,508,340,262,253,435,665
2013,1814,1655,1245,996,629,648,499,363,351,505,559,980
2014,497,274,330,387,267,252,233,200,143,102,290,544
2015,308,600,806,527,388,328,256,189,401,166,526,897
2016,1650,1123,1186,581,446,637,339,284,229,365,653,650
2017,795,576,595,366,429,354,243,176,130,210,365,534
2018,928,637,800,357,245,238,175,223,195,442,764,925
2019,707,736,1293,777,524,357,286,229,206,218,429,734
