"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf";"mediaLimSup";"stdOrig";"stdRed";"stdLimInf";"stdLimSup";"chi2_lower";"chi2_upper";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_Test";"T_p_valor";"Welch_Test";"Welch_p_valor";"F_Test";"F_p_valor";"Wilcoxon_Test";"Wilcoxon_p_valor"
"732";"VazaoIncrementalMultidimensional/";"Arvore2";4;25;43;882,218;867,466;1,96;17,519;864,699;899,737;199,873;198,845;188,205;213,095;562,789;438,998;0,814;0,953;0,006;0,497;25,614;0,145;0,788;0,355;0,725;0;0;1,005;0,941;6301,5;0,945
"733";"VazaoIncrementalMultidimensional/";"Arvore2";4;25;45;8224,342;8213,359;1,96;179,156;8045,186;8403,498;2043,936;2025,242;1924,618;2179,146;562,789;438,998;-0,473;-0,504;-0,687;-0,706;97,389;0,052;1;0,026;0,98;0;0;1,074;0,881;5901;0,638
"734";"VazaoIncrementalMultidimensional/";"Arvore2";4;25;46;9413,738;9403,938;1,96;180,765;9232,973;9594,503;2062,292;2036,952;1941,902;2198,716;562,789;438,998;-0,548;-0,587;-0,577;-0,598;98,205;0,065;1;0,023;0,982;0;0;1,086;0,854;5883;0,621
"735";"VazaoIncrementalMultidimensional/";"Arvore2";4;25;66;13651,34;13623,001;1,96;183,043;13468,297;13834,383;2088,282;2062,534;1966,375;2226,425;562,789;438,998;-0,523;-0,485;-1,063;-1,146;135,007;0,07;1;0,066;0,948;0;0;1,09;0,843;5945;0,681
"736";"VazaoIncrementalMultidimensional/";"Arvore2";4;25;75;663,902;662,764;1,96;39,15;624,752;703,052;446,649;430,379;420,576;476,196;562,789;438,998;1,168;1,234;-0,076;0,133;37,327;0,114;0,954;0,013;0,99;0;0;1,026;0,997;6216;0,964
"737";"VazaoIncrementalMultidimensional/";"Arvore2";4;25;292;12755,7;12808,032;1,96;102,255;12653,445;12857,955;1166,602;1124,597;1098,5;1243,775;562,789;438,998;-0,832;-1,006;-0,646;-0,041;99,386;0,073;1;-0,222;0,826;0;0;0,97;0,846;6172,5;0,917
"738";"VazaoIncrementalMultidimensional/";"Arvore2";4;25;302;5424,864;5543,286;1,96;258,955;5165,909;5683,819;2954,343;3070,203;2781,878;3149,777;562,789;438,998;1,335;1,248;0,123;-0,173;169,81;0,072;1;-0,185;0,855;0;0;0,85;0,515;6060;0,795
"739";"VazaoIncrementalMultidimensional/";"Arvore2";4;25;318;74,098;73,479;1,96;1,784;72,314;75,882;20,355;18,004;19,166;21,701;562,789;438,998;0,436;0,074;-0,503;-1,144;2,487;0,084;0,999;0,163;0,871;0;0;1,183;0,643;6033;0,77
"740";"VazaoIncrementalMultidimensional/";"Arvore2";4;25;131;-146,7;-146,33;1,96;9,054;-155,754;-137,646;103,29;98,086;97,26;110,123;562,789;438,998;-0,754;-0,671;-0,787;-1,187;10,611;0,085;0,998;-0,018;0,986;0;0;1,073;0,884;6764,5;0,487
"741";"VazaoIncrementalMultidimensional/";"Arvore2";4;25;306;-116,75;-116,09;1,96;8,575;-125,325;-108,175;97,835;93,718;92,124;104,307;562,789;438,998;-0,825;-0,732;-0,675;-1,127;9,449;0,118;0,94;-0,034;0,973;0;0;1,05;0,941;6726,5;0,52
"742";"VazaoIncrementalMultidimensional/";"Arvore2";4;25;132;19,81;20,241;1,96;0,455;19,355;20,265;5,187;5,025;4,884;5,53;562,789;438,998;-0,062;-0,19;-0,663;-0,8;0,698;0,095;0,993;-0,41;0,685;0;0;1,127;0,76;5655,5;0,421
"743";"VazaoIncrementalMultidimensional/";"Arvore2";4;25;21;281,412;281,68;1,96;9,689;271,723;291,101;110,539;104,221;104,086;117,852;562,789;438,998;0,633;0,566;-0,885;-1,24;12,64;0,08;1;-0,012;0,99;0;0;1,102;0,815;5739;0,49
"744";"VazaoIncrementalMultidimensional/";"Arvore2";4;25;126;557,204;556,293;1,96;13,631;543,573;570,835;155,511;146,697;146,433;165,799;562,789;438,998;0,041;0,032;-1,061;-1,29;16,543;0,07;1;0,03;0,977;0;0;1,139;0,733;5798;0,542
"745";"VazaoIncrementalMultidimensional/";"Arvore2";4;25;299;885,4;882,787;1,96;27,633;857,767;913,033;315,252;308,049;296,848;336,106;562,789;438,998;0,335;0,389;-0,987;-0,98;23,172;0,059;1;0,041;0,968;0;0;1,033;0,984;5835,5;0,576
"746";"VazaoIncrementalMultidimensional/";"Arvore2";4;25;19;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;NA;NA;0;0;NA;NA;6250;NA
"747";"VazaoIncrementalMultidimensional/";"Arvore2";4;25;304;0,094;0,099;1,96;0,041;0,053;0,135;0,47;0,434;0,443;0,501;562,789;438,998;5,488;4,153;30,929;15,249;0,041;0,01;1;-0,055;0,956;0;0;0,723;0,214;6037,5;0,438
"748";"VazaoIncrementalMultidimensional/";"Arvore2";4;25;303;29,952;30,229;1,96;0,686;29,266;30,638;7,825;7,16;7,368;8,342;562,789;438,998;-0,355;-0,448;-1,015;-0,993;0,887;0,083;0,999;-0,184;0,855;0;0;1,269;0,492;5851;0,59
"749";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;1;141,792;140,465;1,96;4,178;137,614;145,97;47,66;43,552;44,878;50,813;562,789;438,998;-0,083;-0,388;-0,654;-0,953;7,305;0,16;0,957;0,1;0,922;0;0;1,174;0,823;2837,5;0,749
"750";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;2;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;NA;NA;0;0;NA;NA;3000;NA
"751";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;6;759,248;758,677;1,96;22,837;736,411;782,085;260,54;249,522;245,33;277,775;562,789;438,998;-0,666;-0,748;-0,648;-0,431;32,074;0,155;0,967;0,007;0,994;0;0;1,094;0,947;2868;0,795
"752";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;7;163,89;164,409;1,96;8,293;155,597;172,183;94,614;94,492;89,091;100,873;562,789;438,998;0,981;1,149;-0,053;0,357;11,031;0,114;0,999;-0,018;0,986;0;0;0,818;0,537;2741;0,61
"753";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;8;37,468;37,619;1,96;2,044;35,424;39,512;23,321;23,518;21,959;24,864;562,789;438,998;1,157;1,3;0,144;0,542;3,208;0,125;0,997;-0,021;0,984;0;0;0,802;0,505;2706;0,562
"754";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;9;15,144;15,132;1,96;1,009;14,135;16,153;11,506;11,531;10,835;12,268;562,789;438,998;1,305;1,364;0,232;0,557;1,241;0,065;1;0,003;0,997;0;0;0,82;0,542;2756;0,63
"755";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;10;43,586;43,819;1,96;2,535;41,051;46,121;28,916;29,542;27,228;30,828;562,789;438,998;1,238;1,383;0,224;0,642;3,992;0,11;1;-0,026;0,98;0;0;0,776;0,454;2762;0,639
"756";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;11;98,15;98,035;1,96;4,936;93,214;103,086;56,312;57,454;53,025;60,037;562,789;438,998;1,019;1,261;0,104;0,647;7,546;0,11;1;0,007;0,995;0;0;0,769;0,442;2809,5;0,708
"757";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;12;219,484;223,493;1,96;9,002;210,482;228,486;102,703;103,398;96,708;109,497;562,789;438,998;0,706;0,872;-0,409;-0,201;12,121;0,144;0,984;-0,127;0,901;0;0;0,826;0,554;2797;0,689
"758";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;14;66,16;66,079;1,96;1,708;64,452;67,868;19,491;19,826;18,353;20,78;562,789;438,998;-0,36;-0,404;-0,982;-0,879;1,93;0,1;1;0,013;0,99;0;0;0,938;0,774;2629,5;0,465
"759";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;15;42,084;42,316;1,96;1,086;40,998;43,17;12,386;12,752;11,663;13,205;562,789;438,998;-0,322;-0,325;-1,026;-0,95;1,31;0,074;1;-0,06;0,953;0;0;0,936;0,77;2587;0,415
"760";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;16;1,286;1,259;1,96;0,052;1,234;1,338;0,59;0,617;0,556;0,629;562,789;438,998;0,291;0,496;0,101;0,523;0,052;0,019;1;0,143;0,889;0;0;0,576;0,125;2969;0,944
"761";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;17;709,634;710,72;1,96;25,386;684,248;735,02;289,62;293,544;272,713;308,778;562,789;438,998;0,118;0;-1,18;-1,279;21,144;0,128;0,996;-0,012;0,991;0;0;0,88;0,661;2559,5;0,385
"762";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;18;427,7;423,317;1,96;22,8;404,9;450,5;260,121;271,44;244,936;277,328;562,789;438,998;1,083;1,145;-0,31;-0,254;23,637;0,13;0,995;0,053;0,959;0;0;0,817;0,535;2794,5;0,686
"763";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;22;84,504;85,551;1,96;3,436;81,068;87,94;39,199;36,549;36,91;41,792;562,789;438,998;-0,01;-0,131;-1,323;-1,195;3,996;0,176;0,911;-0,094;0,927;0;0;1,069;0,989;2576,5;0,403
"764";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;23;27,878;28,495;1,96;1,025;26,853;28,903;11,692;12,071;11,009;12,465;562,789;438,998;-0,299;-0,492;-1,391;-1,459;1,532;0,216;0,728;-0,168;0,87;0;0;0,9;0,699;2604,5;0,435
"765";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;24;338,17;347,673;1,96;15,631;322,539;353,801;178,333;178,654;167,922;190,13;562,789;438,998;0,073;-0,084;-1,615;-1,586;14,611;0,116;0,999;-0,175;0,864;0;0;0,913;0,725;2653,5;0,494
"766";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;25;425,738;420,222;1,96;16,835;408,903;442,573;192,067;193,062;180,855;204,772;562,789;438,998;0,443;0,618;-0,861;-0,782;25,068;0,136;0,992;0,094;0,927;0;0;0,888;0,677;2794;0,685
"767";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;28;2,182;2,476;1,96;0,581;1,601;2,763;6,626;7,213;6,239;7,064;562,789;438,998;0,368;0,269;-0,748;-0,762;0,804;0,128;0,996;-0,134;0,896;0;0;0,764;0,431;2731,5;0,595
"768";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;31;282,862;294,264;1,96;14,874;267,988;297,736;169,688;181,478;159,783;180,914;562,789;438,998;0,261;0,089;-1,494;-1,755;24,545;0,208;0,772;-0,206;0,84;0;0;0,801;0,504;2757;0,632
"769";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;32;67,204;67,541;1,96;2,874;64,33;70,078;32,784;33,448;30,87;34,952;562,789;438,998;0,01;-0,097;-1,492;-1,486;2,577;0,128;0,996;-0,033;0,974;0;0;0,833;0,568;2773;0,655
"770";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;33;1031,372;1051,741;1,96;35,389;995,983;1066,761;403,749;419,91;380,179;430,458;562,789;438,998;-0,023;-0,114;-1,562;-1,568;34,614;0,128;0,996;-0,159;0,876;0;0;0,835;0,57;2683,5;0,533
"771";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;34;538,66;541,429;1,96;15,107;523,553;553,767;172,349;169,747;162,288;183,75;562,789;438,998;0,78;0,696;-0,849;-1,118;20,621;0,146;0,982;-0,054;0,958;0;0;0,904;0,709;2775;0,658
"772";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;47;454,182;471,045;1,96;9,151;445,031;463,333;104,402;114,574;98,307;111,308;562,789;438,998;0,342;0,672;-0,844;-0,168;20,562;0,164;0,946;-0,484;0,638;0;0;0,806;0,513;2850;0,768
"773";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;48;11,29;13,384;1,96;0,713;10,577;12,003;8,134;10,353;7,659;8,672;562,789;438,998;2,295;1,403;4,349;0,101;2,642;0,156;0,965;-0,666;0,519;0;0;0,481;0,041;2762;0,637
"774";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;49;259,694;298,194;1,96;15,063;244,631;274,757;171,847;213,405;161,815;183,215;562,789;438,998;2,137;1,348;3,851;0,016;50,384;0,132;0,994;-0,594;0,564;0;0;0,498;0,052;2861,5;0,785
"775";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;50;204,864;202,076;1,96;5,242;199,622;210,106;59,805;52,593;56,314;63,761;562,789;438,998;0,394;0,216;-0,052;0,137;9,391;0,136;0,992;0,173;0,865;0;0;0,784;0,471;2895,5;0,837
"776";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;51;14,296;14,001;1,96;0,345;13,951;14,641;3,936;3,035;3,706;4,196;562,789;438,998;1,251;1,462;1,084;2,575;0,879;0,105;1;0,317;0,757;0;0;0,923;0,745;2789,5;0,676
"777";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;52;32,546;32,17;1,96;0,776;31,77;33,322;8,857;7,524;8,34;9,443;562,789;438,998;0,9;0,835;0,826;1,351;1,551;0,092;1;0,163;0,873;0;0;0,781;0,464;2877;0,809
"778";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;57;348,744;353,226;1,96;8,187;340,557;356,931;93,405;85,411;87,952;99,584;562,789;438,998;0,812;0,401;0,205;-1,262;21,65;0,162;0,952;-0,172;0,867;0;0;1,179;0,817;2843;0,757
"779";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;61;567,694;598,14;1,96;34,91;532,784;602,604;398,276;480,326;375,026;424,623;562,789;438,998;1,689;1,733;1,728;1,714;66,576;0,158;0,961;-0,209;0,838;0;0;0,578;0,128;3049;0,924
"780";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;62;50,19;49,295;1,96;1,401;48,789;51,591;15,982;14,059;15,049;17,039;562,789;438,998;-0,583;-0,929;-0,244;-0,326;3,14;0,184;0,881;0,208;0,839;0;0;1,226;0,752;2816,5;0,718
"781";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;63;126,83;124,496;1,96;2,415;124,415;129,245;27,547;21,355;25,938;29,369;562,789;438,998;-0,11;-0,939;0,051;-0,204;7,358;0,19;0,856;0,356;0,728;0;0;1,489;0,468;2857;0,778
"782";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;71;96,466;105,796;1,96;6,056;90,41;102,522;69,089;76,781;65,055;73,659;562,789;438,998;0,848;1,025;-0,302;-0,143;14,536;0,147;0,981;-0,399;0,697;0;0;0,895;0,69;3049;0,924
"783";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;72;4,824;4,47;1,96;0,233;4,591;5,057;2,655;2,22;2,5;2,831;562,789;438,998;0,783;0,358;-0,609;-1,697;0,718;0,138;0,99;0,521;0,612;0;0;1,381;0,568;3407;0,414
"784";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;73;19,606;18,967;1,96;0,928;18,678;20,534;10,59;9,377;9,971;11,29;562,789;438,998;0,826;0,41;-0,572;-1,485;1,992;0,118;0,999;0,223;0,828;0;0;1,128;0,893;3350;0,49
"785";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;74;723,396;691,156;1,96;47,406;675,99;770,802;540,838;539,371;509,265;576,615;562,789;438,998;1,19;1,3;-0,194;-0,02;49,291;0,176;0,911;0,196;0,848;0;0;1,036;0,955;3338,5;0,505
"786";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;76;103,702;99,262;1,96;4,537;99,165;108,239;51,758;44,301;48,736;55,181;562,789;438,998;0,746;0,397;-0,559;-1,415;12,849;0,184;0,881;0,328;0,749;0;0;1,203;0,783;3340,5;0,502
"787";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;77;89,698;86,834;1,96;6,328;83,37;96,026;72,194;72,949;67,979;76,97;562,789;438,998;1,013;1,341;-0,086;1,5;16,316;0,156;0,965;0,129;0,9;0;0;0,793;0,488;3305,5;0,547
"788";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;78;35,586;33,613;1,96;2,4;33,186;37,986;27,381;27,793;25,782;29,192;562,789;438,998;1,196;1,595;0,343;2,312;6,536;0,19;0,857;0,233;0,82;0;0;0,78;0,462;3470;0,354
"789";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;81;86,408;83,883;1,96;6,396;80,012;92,804;72,972;73,381;68,712;77,799;562,789;438,998;0,956;1,269;-0,204;1,268;15,911;0,16;0,957;0,113;0,912;0;0;0,8;0,503;3281;0,58
"790";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;88;404,656;377,682;1,96;40,293;364,363;444,949;459,686;376,915;432,851;490,095;562,789;438,998;1,255;1,066;0,465;-0,069;73,474;0,201;0,803;0,234;0,819;0;0;1,264;0,702;3140,5;0,782
"791";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;89;81,656;73,187;1,96;8,012;73,644;89,668;91,402;69,225;86,067;97,449;562,789;438,998;1,375;1,085;1,05;0,249;16,123;0,187;0,871;0,398;0,698;0;0;1,401;0,549;3108,5;0,831
"792";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;92;269,146;285,229;1,96;17,281;251,865;286,427;197,157;204,284;185,647;210,199;562,789;438,998;0,436;0,196;-1,248;-1,451;31,333;0,14;0,989;-0,258;0,801;0;0;0,876;0,654;3274,5;0,588
"793";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;93;41,31;39,619;1,96;1,957;39,353;43,267;22,324;21,759;21,021;23,801;562,789;438,998;0,604;0,924;-0,168;0,655;3,628;0,176;0,911;0,255;0,803;0;0;0,752;0,408;3146,5;0,773
"794";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;94;68,244;68,53;1,96;3,38;64,864;71,624;38,565;38,042;36,314;41,116;562,789;438,998;2,116;1,322;4,551;0,145;9,205;0,152;0,973;-0,025;0,981;0;0;1,21;0,772;3195;0,701
"795";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;97;125,958;113,074;1,96;7,069;118,889;133,027;80,65;74,776;75,942;85,985;562,789;438,998;0,745;1,249;-0,633;0,101;17,358;0,248;0,559;0,564;0,583;0;0;1,116;0,912;3477,5;0,346
"796";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;98;271,42;227,461;1,96;23,283;248,137;294,703;265,629;217,579;250,123;283,201;562,789;438,998;0,67;0,406;-1,077;-1,763;52,232;0,22;0,708;0,659;0,522;0;0;1,521;0,442;3573,5;0,258
"797";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;99;81,416;81,038;1,96;1,016;80,4;82,432;11,591;12,455;10,914;12,357;562,789;438,998;0,127;0,142;-1,274;-1,423;1,529;0,098;1;0,1;0,922;0;0;0,708;0,327;2753,5;0,627
"798";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;101;189,874;191,832;1,96;14,197;175,677;204,071;161,972;161,966;152,516;172,687;562,789;438,998;0,729;0,626;-1,051;-1,224;10,806;0,102;1;-0,04;0,969;0;0;0,975;0,844;3406,5;0,423
"799";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;102;437,754;412,481;1,96;24,238;413,516;461,992;276,525;236,376;260,382;294,817;562,789;438,998;1,177;0,965;0,48;-0,305;44,934;0,151;0,974;0,349;0,733;0;0;1,212;0,77;3421;0,406
"800";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;103;14,938;14,41;1,96;0,746;14,192;15,684;8,509;7,187;8,012;9,072;562,789;438,998;1,034;0,516;0,477;-0,517;1,568;0,099;1;0,24;0,815;0;0;1,23;0,746;3112,5;0,825
"801";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;104;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;NA;NA;0;0;NA;NA;3000;NA
"802";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;109;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;NA;NA;0;0;NA;NA;3000;NA
"803";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;110;33,334;33,766;1,96;2,048;31,286;35,382;23,37;25,47;22,006;24,916;562,789;438,998;1,001;1,01;-0,419;-0,484;2,16;0,14;0,988;-0,056;0,956;0;0;0,892;0,684;3462;0,361
"804";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;111;197,006;185,056;1,96;19,091;177,915;216,097;217,798;181,984;205,084;232,206;562,789;438,998;1,358;0,878;0,579;-0,835;34,706;0,154;0,969;0,214;0,834;0;0;1,477;0,478;3206,5;0,684
"805";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;112;1,486;1,654;1,96;0,128;1,358;1,614;1,461;1,103;1,375;1,557;562,789;438,998;1,138;1,314;1,307;0,04;0,45;0,244;0,58;-0,495;0,63;0;0;2,138;0,154;2769;0,636
"806";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;113;36,416;38,949;1,96;2,59;33,826;39,006;29,546;20,973;27,821;31,5;562,789;438,998;1,356;0,388;1,456;-0,815;8,777;0,299;0,321;-0,392;0,702;0;0;1,931;0,217;2894,5;0,836
"807";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;114;41,166;43,509;1,96;2,845;38,321;44,011;32,46;23,169;30,565;34,607;562,789;438,998;1,355;0,317;1,51;-0,928;9,177;0,281;0,396;-0,328;0,748;0;0;1,901;0,228;2901,5;0,847
"808";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;115;18,51;20,002;1,96;1,032;17,478;19,542;11,772;13,547;11,085;12,551;562,789;438,998;1,243;1,214;0,276;-0,104;1,755;0,122;0,998;-0,362;0,724;0;0;0,79;0,483;3103;0,839
"809";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;116;11,55;11,819;1,96;0,387;11,163;11,937;4,419;4,986;4,161;4,712;562,789;438,998;0,595;0,885;-0,645;-0,068;0,553;0,079;1;-0,178;0,862;0;0;0,745;0,395;3163,5;0,746
"810";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;117;32,372;33,337;1,96;1,091;31,281;33,463;12,446;13,865;11,72;13,27;562,789;438,998;0,595;0,928;-0,633;0,087;1,972;0,081;1;-0,229;0,823;0;0;0,759;0,421;3105;0,836
"811";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;118;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;NA;NA;0;0;NA;NA;3000;NA
"812";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;119;60,968;62,458;1,96;2,051;58,917;63,019;23,401;26,125;22,035;24,949;562,789;438,998;0,598;0,923;-0,629;0,067;3,395;0,081;1;-0,188;0,855;0;0;0,761;0,425;3135;0,79
"813";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;134;79,32;76,008;1,96;4,182;75,138;83,502;47,716;36,84;44,93;50,872;562,789;438,998;1,012;0,434;0,013;-0,999;8,438;0,172;0,924;0,293;0,775;0;0;1,451;0,501;2760;0,636
"814";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;141;309,416;320,933;1,96;14,06;295,356;323,476;160,402;162,602;151,039;171,013;562,789;438,998;-0,19;-0,296;-1,675;-1,626;17,086;0,17;0,93;-0,232;0,82;0;0;0,912;0,724;2568,5;0,395
"815";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;144;235,982;244,179;1,96;10,594;225,388;246,576;120,859;123,078;113,804;128,854;562,789;438,998;-0,197;-0,311;-1,674;-1,635;13,018;0,184;0,88;-0,219;0,831;0;0;0,906;0,712;2586;0,414
"816";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;145;170,256;169,685;1,96;2,457;167,799;172,713;28,034;25,653;26,398;29,889;562,789;438,998;-0,033;-0,779;-0,968;-0,858;6,987;0,17;0,93;0,073;0,943;0;0;1,19;0,8;3052;0,919
"817";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;148;131,08;136,485;1,96;6,062;125,018;137,142;69,157;70,759;65,12;73,732;562,789;438,998;-0,156;-0,281;-1,662;-1,631;8,057;0,158;0,961;-0,251;0,806;0;0;0,902;0,705;2614;0,446
"818";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;149;211,508;210,459;1,96;5,153;206,355;216,661;58,784;39,246;55,352;62,672;562,789;438,998;1,236;-0,236;1,542;-1,173;17,804;0,187;0,868;0,087;0,932;0;0;2,141;0,153;2520;0,344
"819";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;154;145,5;147,537;1,96;0,978;144,522;146,478;11,157;12,816;10,506;11,895;562,789;438,998;0,73;0,824;-0,401;-0,351;2,175;0,104;1;-0,523;0,611;0;0;0,738;0,382;2744,5;0,614
"820";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;155;124,702;120,088;1,96;8,317;116,385;133,019;94,891;87,32;89,352;101,169;562,789;438,998;0,563;0,498;-0,633;-0,654;9,108;0,092;1;0,173;0,866;0;0;1,145;0,867;2852,5;0,772
"821";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;156;730,886;742,33;1,96;38,875;692,011;769,761;443,515;434,122;417,624;472,854;562,789;438,998;0,53;0,522;-0,887;-0,921;37,627;0,118;0,999;-0,086;0,933;0;0;0,926;0,751;2666,5;0,511
"822";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;158;30,564;32,087;1,96;1,579;28,985;32,143;18,014;19,593;16,962;19,206;562,789;438,998;-0,189;-0,182;-1,631;-1,606;2,255;0,14;0,989;-0,255;0,803;0;0;0,842;0,586;2667;0,511
"823";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;160;19,694;20,288;1,96;0,667;19,027;20,361;7,607;8,513;7,163;8,11;562,789;438,998;0,592;0,962;-0,634;0,176;1,204;0,084;1;-0,23;0,822;0;0;0,764;0,431;3115,5;0,82
"824";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;161;168,368;172,914;1,96;5,68;162,688;174,048;64,802;72,389;61,019;69,089;562,789;438,998;0,598;0,931;-0,631;0,076;9,341;0,092;1;-0,206;0,84;0;0;0,76;0,424;3124;0,807
"825";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;166;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;NA;NA;0;0;NA;NA;3000;NA
"826";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;168;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;NA;NA;0;0;NA;NA;3000;NA
"827";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;169;918,986;881,765;1,96;49,998;868,988;968,984;570,415;549,42;537,116;608,149;562,789;438,998;0,26;0,434;-1,221;-1,07;64,398;0,137;0,991;0,222;0,828;0;0;0,863;0,626;2768;0,648
"828";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;171;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;NA;NA;0;0;NA;NA;3000;NA
"829";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;172;1805,138;1776,271;1,96;91,837;1713,301;1896,975;1047,747;1000,921;986,583;1117,057;562,789;438,998;0,032;0,05;-1,632;-1,612;80,716;0,126;0,997;0,095;0,926;0;0;0,943;0,784;2754,5;0,629
"830";"VazaoIncrementalMultidimensional/";"Arvore2";3;12;173;1805,138;1776,271;1,96;91,837;1713,301;1896,975;1047,747;1000,921;986,583;1117,057;562,789;438,998;0,032;0,05;-1,632;-1,612;80,716;0,126;0,997;0,095;0,926;0;0;0,943;0,784;2754,5;0,629
